inclination_deg,N,spacing_deg,min_coverage,mean_coverage,full_coverage_time_ratio,mean_overlap_ratio,max_gap_time_min
40.0,21,17.142857142857142,0.7007837847427105,0.7185929821085337,0.0,1.333526138862796,95.50211815557677
40.0,22,16.363636363636363,0.7031474663052572,0.7193843456033197,0.0,1.4304547139705048,95.50211815557677
40.0,23,15.652173913043478,0.7052115515650643,0.7200751398332396,0.0,1.527483852336827,95.50211815557677
40.0,24,15.0,0.7073498829403108,0.7206821326590513,0.0,1.62460138799053,95.50211815557677
40.0,25,14.4,0.7086255352157046,0.7212162965118325,0.0,1.7217873708314817,95.50211815557677
40.0,26,13.846153846153847,0.7100462916111275,0.721692230291322,0.0,1.8190266317433912,95.50211815557677
40.0,27,13.333333333333334,0.7113128587665943,0.7221156375530271,0.0,1.9163232322996022,95.50211815557677
40.0,28,12.857142857142858,0.712446744924476,0.7224946103781493,0.0,2.0136642175836235,95.50211815557677
40.0,29,12.413793103448276,0.7134658381955004,0.7228351769420939,0.0,2.111043561033171,95.50211815557677
40.0,30,12.0,0.7143851132393622,0.723141446847167,0.0,2.20846295396481,95.50211815557677
40.0,31,11.612903225806452,0.7152171822163748,0.7234202838229059,0.0,2.3058983642520814,95.50211815557677
40.0,32,11.25,0.7160341238735006,0.7236726782257331,0.0,2.4033662703264476,95.50211815557677
40.0,33,10.909090909090908,0.7166608475370418,0.7239024597898751,0.0,2.500856129570862,95.50211815557677
40.0,34,10.588235294117647,0.7172893260098446,0.7241123376581691,0.0,2.5983661869540313,95.50211815557677
40.0,35,10.285714285714286,0.7178648573055252,0.7243044954955848,0.0,2.6958940394566313,95.50211815557677
40.0,36,10.0,0.7183932224520334,0.7244808230519946,0.0,2.7934379240923626,95.50211815557677
40.0,37,9.72972972972973,0.7188794349438999,0.7246432388294788,0.0,2.8909951498317508,95.50211815557677
40.0,38,9.473684210526315,0.7193278597897088,0.724792929011411,0.0,2.988565424178052,95.50211815557677
40.0,39,9.23076923076923,0.7197423115725431,0.7249312671716174,0.0,3.0861470258804524,95.50211815557677
40.0,40,9.0,0.7203219084038329,0.7250598191332585,0.0,3.1837460486160443,95.50211815557677
40.0,41,8.78048780487805,0.7204822756966819,0.725178241841583,0.0,3.281339969671124,95.50211815557677
40.0,42,8.571428571428571,0.7208133302341043,0.7252887068857929,0.0,3.3789495350568663,95.50211815557677
40.0,43,8.372093023255815,0.7211216000219408,0.7253915971165225,0.0,3.476566525182376,95.50211815557677
40.0,44,8.181818181818182,0.7214091280837758,0.7254875365262811,0.0,3.5741905826213687,95.50211815557677
40.0,45,8.0,0.7216777335760416,0.7255770739387808,0.0,3.671821359991666,95.50211815557677
40.0,46,7.826086956521739,0.721929040581097,0.7256610213637735,0.0,3.76945696297636,95.50211815557677
40.0,47,7.659574468085107,0.7221645026722185,0.7257395841763474,0.0,3.867098368833397,95.50211815557677
40.0,48,7.5,0.7224672925325897,0.7258134013047188,0.0,3.96474577526771,95.50211815557677
40.0,49,7.346938775510204,0.722592977085625,0.7258825358474615,0.0,4.062395329335634,95.50211815557677
40.0,50,7.2,0.7227882189393369,0.7259467942196202,0.0,4.160060540467008,95.50211815557677
40.0,51,7.0588235294117645,0.722972103973281,0.7260090122429435,0.0,4.257708774675357,95.50211815557677
40.0,52,6.923076923076923,0.7231454959464941,0.7260668519668371,0.0,4.355370872102589,95.50211815557677
40.0,53,6.7924528301886795,0.723309178058408,0.7261214580231062,0.0,4.453036230639922,95.50211815557677
40.0,54,6.666666666666667,0.7234638617971785,0.7261730455878002,0.0,4.550704694117458,95.50211815557677
40.0,55,6.545454545454546,0.7236101946748922,0.7262218603746369,0.0,4.648375788559925,95.50211815557677
40.0,56,6.428571428571429,0.723768881683704,0.7262680980198957,0.0,4.74604955790365,95.50211815557677
