time_hours,maneuvering_satellite_count,failed_satellite_count,available_capacity_gbps,available_capacity_ratio,basic_coverage_indicator,recommended_candidate_id
6687.0,1.5121112122951672,0.0,36784.87888787705,0.9995891002140502,1,0
6688.0,0.7765818368425244,0.0,36792.234181631575,0.999788972326945,1,0
6689.0,1.5135311312669728,0.0,36784.86468868733,0.9995887143665037,1,0
6690.0,1.8690343209000275,0.0,36781.309656791,0.9994921102388856,1,0
6691.0,0.9039296837099756,0.0,36790.9607031629,0.9997543669337744,1,0
6692.0,2.1783126937953057,0.0,36778.21687306205,0.999408067202773,1,0
6693.0,2.6837713961103877,0.0,36773.162286038896,0.9992707142945352,1,0
6694.0,3.5967162762626685,0.0,36764.03283723738,0.9990226314466678,1,0
6695.0,2.6875990361822915,0.0,36773.12400963818,0.9992696741749506,1,0
6696.0,2.2178933486420647,0.0,36777.82106651358,0.9993973115900427,1,0
6697.0,1.672744600143233,0.0,36783.27255399857,0.9995454498369176,1,0
6698.0,0.988701106100052,0.0,36790.112988939,0.9997313312211684,1,0
6699.0,0.0,0.0,36800.0,1.0,1,0
6700.0,1.7222613736030326,0.0,36782.77738626397,0.9995319941919558,1,0
6701.0,4.390739772606139,0.0,36756.09260227394,0.9988068641922264,1,0
6702.0,2.8406042356400576,0.0,36771.5939576436,0.9992280966750978,1,0
6703.0,1.3179982177616694,0.0,36786.82001782239,0.9996418483103908,1,0
6704.0,1.4419599885522985,0.0,36785.58040011448,0.9996081630465892,1,0
6705.0,1.2574404057904758,0.0,36787.4255959421,0.9996583042375572,1,0
6706.0,1.0442897271368563,0.0,36789.55710272864,0.999716225617626,1,0
6707.0,1.2194633114804674,0.0,36787.80536688519,0.9996686241001412,1,0
6708.0,1.533355720864165,0.0,36784.66644279136,0.9995833272497652,1,0
6709.0,1.077386784311784,0.0,36789.22613215688,0.9997072318520892,1,0
6710.0,3.8373922593937095,0.0,36761.62607740607,0.9989572303642952,1,0
6711.0,3.910371622589992,0.0,36760.8962837741,0.9989373990156004,1,0
