event_sample_id,delta_v_required_mps,delta_v_commanded_mps,delta_v_actual_mps,delta_v_limited
355206,0.0016836789974632475,0.0016836789974632475,0.0017323299295201127,False
355238,0.003464256854564923,0.003464256854564923,0.0034989871809410883,False
355269,0.0023323353120495325,0.0023323353120495325,0.0023370009975314456,False
355274,0.002877694675079486,0.002877694675079486,0.002787774945671961,False
355342,0.0014792646542368551,0.0014792646542368551,0.0014999771786102668,False
355376,0.0025928763852218193,0.0025928763852218193,0.002653105682304575,False
355378,0.0018319810018797124,0.0018319810018797124,0.0018023761949444274,False
355382,0.0019677095127340538,0.0019677095127340538,0.0019550777356731317,False
355387,0.0042966604023811,0.0042966604023811,0.004296858316640964,False
355388,0.0018311959216372464,0.0018311959216372464,0.0018381865583609591,False
355397,0.002656136982743585,0.002656136982743585,0.0025984693341913868,False
355412,0.0025439017948780296,0.0025439017948780296,0.0026284611609719132,False
355422,0.0021707749728715926,0.0021707749728715926,0.002183059810237007,False
355442,0.0034526084220518273,0.0034526084220518273,0.00344938405905472,False
355472,0.0020034410504740406,0.0020034410504740406,0.002019484313493157,False
355497,0.001512280857130138,0.001512280857130138,0.0015269187541292909,False
355521,0.0017428128376134968,0.0017428128376134968,0.0017662243924613324,False
355572,0.0012963461590845395,0.0012963461590845395,0.001322272489320598,False
355625,0.0018689576721060417,0.0018689576721060417,0.001830107101249023,False
355644,0.002178150512379098,0.002178150512379098,0.002198698241172279,False
355665,0.002449517493198642,0.002449517493198642,0.0024952826290985924,False
355698,0.002190327589270834,0.002190327589270834,0.002184637121879347,False
355723,0.0015320504967325497,0.0015320504967325497,0.001488650516600672,False
355736,0.0014811774602429648,0.0014811774602429648,0.0014891732371025983,False
355761,0.0017516109883451555,0.0017516109883451555,0.0017221017088054772,False
355826,0.001323214360989668,0.001323214360989668,0.0013476624690333964,False
355850,0.001383396200436096,0.001383396200436096,0.0013084754659883104,False
355890,0.0030012735647509657,0.0030012735647509657,0.0029144983073945358,False
355946,0.0015871138773191284,0.0015871138773191284,0.0016615915464930128,False
355953,0.0017166610577398441,0.0017166610577398441,0.0017256191199750534,False
355970,0.002927283894686248,0.002927283894686248,0.0029011644392818703,False
355983,0.0016575739944371737,0.0016575739944371737,0.0016792151415284833,False
356002,0.0014998068100544827,0.0014998068100544827,0.001499219200953505,False
356017,0.0015338777604338642,0.0015338777604338642,0.0015033370989123295,False
356021,0.002686082487420155,0.002686082487420155,0.0027738714668280803,False
356024,0.002258217729255976,0.002258217729255976,0.002308009289145076,False
356074,0.001656277542223768,0.001656277542223768,0.0015960227373335895,False
356146,0.0035007293880370263,0.0035007293880370263,0.0035284098636222737,False
356164,0.0012929993963431646,0.0012929993963431646,0.0013200755516189482,False
356198,0.0026095700350175764,0.0026095700350175764,0.0026454179485134966,False
356200,0.0022211389068905276,0.0022211389068905276,0.002186119348456548,False
356255,0.00192034241957582,0.00192034241957582,0.0019666839347737388,False
356278,0.0050771688945426725,0.0050771688945426725,0.004943340690097229,False
356293,0.0025166644247923285,0.0025166644247923285,0.0024869996914750093,False
356440,0.0013192553484787015,0.0013192553484787015,0.0013098366036451417,False
356448,0.00237177076333448,0.00237177076333448,0.002328221819063331,False
356473,0.002390051821301622,0.002390051821301622,0.0023613158505916927,False
356485,0.002384256916725768,0.002384256916725768,0.0023464786205590845,False
356506,0.0029662235956748476,0.0029662235956748476,0.003048385111979143,False
356508,0.0026184453439395978,0.0026184453439395978,0.002693834005996891,False
356516,0.003431404034865904,0.003431404034865904,0.0034183650694505634,False
356523,0.0034834010954589364,0.0034834010954589364,0.0034073994335978137,False
356528,0.002277759406407625,0.002277759406407625,0.0022827945900124567,False
356544,0.0014533090790247245,0.0014533090790247245,0.00146502356383349,False
356545,0.001331945785863415,0.001331945785863415,0.001302894598585462,False
356591,0.0021882918561846997,0.0021882918561846997,0.0021508803275905675,False
356615,0.001663435233966614,0.001663435233966614,0.0015979441340326697,False
356621,0.0014892864359225774,0.0014892864359225774,0.0015235586245665356,False
356634,0.0015845779728073284,0.0015845779728073284,0.0016294154721839696,False
356667,0.003601175792168235,0.003601175792168235,0.0036155874211558315,False
356697,0.0030026336292343658,0.0030026336292343658,0.0030519779556668434,False
356762,0.0027935440445391083,0.0027935440445391083,0.0028635893616753044,False
356772,0.0018709339785130366,0.0018709339785130366,0.0018852640604327107,False
356773,0.002756120515272879,0.002756120515272879,0.0027373747763588824,False
356785,0.0013201296168009458,0.0013201296168009458,0.0013456385157370094,False
356824,0.0018967828648149623,0.0018967828648149623,0.0019060340780247744,False
356858,0.0017701586302710044,0.0017701586302710044,0.001756142871561545,False
356899,0.0029574409226940913,0.0029574409226940913,0.0029810184003682457,False
356923,0.0029394964082836332,0.0029394964082836332,0.0029238977423099834,False
356932,0.0018898361690815953,0.0018898361690815953,0.0018891044157422386,False
356974,0.002600592026866657,0.002600592026866657,0.0026221688994058742,False
357018,0.002432803851088241,0.002432803851088241,0.002427931274098297,False
357044,0.0014741484801961465,0.0014741484801961465,0.0015148120240024898,False
357104,0.0014938018577400978,0.0014938018577400978,0.0015097195096720687,False
357138,0.0024157156784236147,0.0024157156784236147,0.002348301080918823,False
357148,0.0025901081742348603,0.0025901081742348603,0.0025779556820873495,False
357161,0.0015440795178342875,0.0015440795178342875,0.0015330642320359794,False
357172,0.0015456974690124829,0.0015456974690124829,0.0014884642201271282,False
357266,0.001899183969873307,0.001899183969873307,0.0018565148844378369,False
357269,0.002464083065443203,0.002464083065443203,0.0025712746561684986,False
357344,0.0024562981381330653,0.0024562981381330653,0.0024768113332788774,False
357483,0.0014988247911822607,0.0014988247911822607,0.0014554928264207392,False
357523,0.003077907268768704,0.003077907268768704,0.003094268238152049,False
357535,0.0021098724561351982,0.0021098724561351982,0.002108614682522122,False
357545,0.003697380326611955,0.003697380326611955,0.003682576604236854,False
357558,0.003332206340148832,0.003332206340148832,0.003375587093265208,False
357603,0.0018462287651609703,0.0018462287651609703,0.0018353430577558942,False
357619,0.0034757533889345073,0.0034757533889345073,0.00353798965072991,False
357624,0.003164031885011041,0.003164031885011041,0.003187592532010599,False
357653,0.0020601185406109676,0.0020601185406109676,0.002069798766508233,False
357713,0.002109502485704932,0.002109502485704932,0.002076026595454722,False
357741,0.0016010487553409247,0.0016010487553409247,0.0016262411230713967,False
357752,0.0014553129158102575,0.0014553129158102575,0.0014812501176892756,False
357754,0.0017939948432586963,0.0017939948432586963,0.0017690180963941767,False
357758,0.002682643775923926,0.002682643775923926,0.002756694129234555,False
357793,0.0030314438127886857,0.0030314438127886857,0.003147900056680949,False
357851,0.0026964617090716675,0.0026964617090716675,0.002696871003614183,False
357879,0.0012666253653431246,0.0012666253653431246,0.0012430548330188672,False
357971,0.002409210227532739,0.002409210227532739,0.002416831740134765,False
358008,0.0036839708849051227,0.0036839708849051227,0.0036867046307763503,False
358027,0.0015422432341694707,0.0015422432341694707,0.0015417036573794742,False
358078,0.001577835774499148,0.001577835774499148,0.001564695500907769,False
358079,0.00306372975821974,0.00306372975821974,0.003095511440984929,False
358119,0.0027664750758963296,0.0027664750758963296,0.002757380593783881,False
358146,0.0025670568657983305,0.0025670568657983305,0.0025513725571330702,False
358150,0.0013932413664311273,0.0013932413664311273,0.0014379000501425667,False
358177,0.002174568651356995,0.002174568651356995,0.002125019497017707,False
358195,0.0016862949024204904,0.0016862949024204904,0.0017063042925575607,False
358202,0.0012529846261420403,0.0012529846261420403,0.001231709340492274,False
358238,0.0021806425715410987,0.0021806425715410987,0.0022100603381446805,False
358259,0.003323655563711845,0.003323655563711845,0.003353439527807078,False
358335,0.0015657291468261316,0.0015657291468261316,0.0015379603125089485,False
358394,0.002909984676098606,0.002909984676098606,0.0028293580710883155,False
358501,0.0018613629513438235,0.0018613629513438235,0.0018565301215208551,False
358513,0.002427662495014676,0.002427662495014676,0.0024348781776742075,False
358524,0.0015542759546902608,0.0015542759546902608,0.0015510952327494308,False
358540,0.0015931389468411012,0.0015931389468411012,0.0016032534495606546,False
358546,0.0015493731042467845,0.0015493731042467845,0.0015825689527401274,False
358551,0.0014536176879587578,0.0014536176879587578,0.001441513998758856,False
358556,0.0016467721247706642,0.0016467721247706642,0.0016493766227824885,False
358560,0.002747438572072504,0.002747438572072504,0.002729085187246567,False
358573,0.0015830408231708064,0.0015830408231708064,0.001623039913877386,False
358582,0.0016874198207254105,0.0016874198207254105,0.0017036192246432276,False
358601,0.004218563745363273,0.004218563745363273,0.004140653254788651,False
358603,0.0033929063096245983,0.0033929063096245983,0.0032682658305214635,False
358619,0.0012650892037354066,0.0012650892037354066,0.0012540783547195376,False
358642,0.001870425454047313,0.001870425454047313,0.001957415772351583,False
358695,0.0036488762671287142,0.0036488762671287142,0.0035834277692140485,False
358725,0.0019936051757603393,0.0019936051757603393,0.002064695549555305,False
358805,0.002177608175135126,0.002177608175135126,0.002118753877670122,False
358819,0.002693189108665439,0.002693189108665439,0.0027344092884547875,False
358827,0.003908758203835345,0.003908758203835345,0.0038619557352588137,False
