mc_year,annual_avoidance_count,annual_avoidance_cost_cny
885,16207,324140000.0
886,16048,320960000.0
887,16110,322200000.0
888,15912,318240000.0
889,16069,321380000.0
890,16360,327200000.0
891,16330,326600000.0
892,16294,325880000.0
893,16037,320740000.0
894,16150,323000000.0
895,16085,321700000.0
896,16014,320280000.0
897,16072,321440000.0
898,16152,323040000.0
899,16177,323540000.0
900,16152,323040000.0
901,16141,322820000.0
902,16180,323600000.0
903,16193,323860000.0
904,16154,323080000.0
905,16188,323760000.0
906,16222,324440000.0
907,16081,321620000.0
908,16133,322660000.0
909,16310,326200000.0
910,15943,318860000.0
911,16174,323480000.0
912,16080,321600000.0
913,16199,323980000.0
914,16188,323760000.0
915,16116,322320000.0
916,15842,316840000.0
917,16154,323080000.0
918,16205,324100000.0
919,16213,324260000.0
920,16224,324480000.0
921,16221,324420000.0
922,16276,325520000.0
923,16256,325120000.0
924,16159,323180000.0
925,16083,321660000.0
926,15943,318860000.0
927,16108,322160000.0
928,16233,324660000.0
929,15998,319960000.0
930,16070,321400000.0
931,16167,323340000.0
932,16041,320820000.0
933,15997,319940000.0
934,16285,325700000.0
935,16174,323480000.0
936,16102,322040000.0
937,16071,321420000.0
938,16333,326660000.0
939,16226,324520000.0
940,16142,322840000.0
941,16136,322720000.0
942,16143,322860000.0
943,16211,324220000.0
944,16357,327140000.0
945,16295,325900000.0
946,16239,324780000.0
947,16192,323840000.0
948,16041,320820000.0
949,16206,324120000.0
950,16249,324980000.0
951,16062,321240000.0
952,16121,322420000.0
953,16022,320440000.0
954,16076,321520000.0
955,16103,322060000.0
956,15984,319680000.0
957,16023,320460000.0
958,16181,323620000.0
959,15930,318600000.0
960,16131,322620000.0
961,16178,323560000.0
962,16070,321400000.0
963,16301,326020000.0
964,16074,321480000.0
965,16067,321340000.0
966,15999,319980000.0
967,16037,320740000.0
968,16246,324920000.0
969,16341,326820000.0
970,16304,326080000.0
971,16043,320860000.0
972,15917,318340000.0
973,15875,317500000.0
974,16335,326700000.0
975,16224,324480000.0
976,16080,321600000.0
977,16198,323960000.0
978,16282,325640000.0
979,16425,328500000.0
980,16196,323920000.0
981,16255,325100000.0
982,16183,323660000.0
983,16021,320420000.0
984,16214,324280000.0
985,16136,322720000.0
986,16320,326400000.0
987,16293,325860000.0
988,16173,323460000.0
989,16248,324960000.0
990,16100,322000000.0
991,16312,326240000.0
992,16168,323360000.0
993,16011,320220000.0
994,16172,323440000.0
995,16094,321880000.0
996,16128,322560000.0
997,16282,325640000.0
998,16239,324780000.0
999,16135,322700000.0
