ground_index,latitude_deg,longitude_deg,minimum_visible_satellites,mean_visible_satellites,maximum_visible_satellites,mean_minimum_slant_distance_km
2251,39.0,119.0,2,4.211805555555555,7,589.9138640182788
2252,39.0,120.0,2,4.201388888888889,7,589.9442131040825
2253,39.0,121.0,2,4.239583333333333,7,589.9051574858648
2254,39.0,122.0,2,4.25,7,589.8965674302885
2255,39.0,123.0,2,4.225694444444445,7,590.001248058715
2256,39.0,124.0,2,4.232638888888889,7,590.0461117959017
2257,39.0,125.0,2,4.211805555555555,7,589.8529368998857
2258,39.0,126.0,2,4.222222222222222,7,589.6128981283806
2259,39.0,127.0,2,4.239583333333333,7,589.710102396075
2260,39.0,128.0,2,4.211805555555555,7,589.9224641959249
2261,39.0,129.0,2,4.211805555555555,7,589.976523502964
2262,39.0,130.0,2,4.236111111111111,7,589.941452909196
2263,39.0,131.0,2,4.246527777777778,7,589.888882819629
2264,39.0,132.0,2,4.215277777777778,7,589.8388308561894
2265,39.0,133.0,2,4.236111111111111,7,589.8235938837929
2266,39.0,134.0,2,4.211805555555555,7,589.9166954677676
2267,39.0,135.0,2,4.222222222222222,7,589.9559236251368
2268,40.0,73.0,3,4.402777777777778,6,580.7607713136553
2269,40.0,74.0,3,4.427083333333333,7,580.8082309620655
2270,40.0,75.0,3,4.4375,6,580.6298819526405
2271,40.0,76.0,3,4.430555555555555,6,580.4518663793775
2272,40.0,77.0,3,4.458333333333333,7,580.6228757296653
2273,40.0,78.0,3,4.458333333333333,7,580.6421031195209
2274,40.0,79.0,3,4.420138888888889,7,580.6646000666233
2275,40.0,80.0,3,4.454861111111111,7,580.8298597354241
