time_seconds,ground_index,satellite_id,assigned_gbps,assignment_cost_ms
66600.0,219,64,20.0,21.25842056147851
66600.0,194,1786,20.0,22.349472500388785
66600.0,194,944,20.0,24.037408654873133
66600.0,309,200,20.0,26.67826865272226
66600.0,314,245,20.0,30.100974270252824
66600.0,289,1125,20.0,20.555889268741236
66600.0,252,899,20.0,27.38407296793927
66900.0,42,151,20.0,25.125246901197414
66900.0,42,1124,20.0,25.511472509395293
66900.0,49,196,20.0,27.961311024064297
66900.0,49,1169,20.0,25.60924037662764
66900.0,34,106,20.0,22.875275307414675
66900.0,34,1079,20.0,26.60391162973593
66900.0,34,1078,20.0,23.824553492622822
66900.0,31,105,20.0,27.028577434723434
66900.0,31,1034,20.0,29.013877380214183
66900.0,7,1828,20.0,24.644607210552937
66900.0,7,943,20.0,30.992196755841224
66900.0,15,15,20.0,24.872130556791713
66900.0,15,988,20.0,28.090181118946475
66900.0,18,60,20.0,25.975165821969206
66900.0,21,1033,20.0,25.77150255829201
66900.0,28,61,20.0,22.292547774917878
66900.0,62,242,20.0,29.013093436578654
66900.0,62,1215,20.0,29.340429266638637
66900.0,62,1214,20.0,25.883260409854422
66900.0,5,942,20.0,28.911637102259196
66900.0,55,241,20.0,31.725976029721956
66900.0,55,197,20.0,26.084235629626885
66900.0,0,1783,20.0,25.907429233979748
66900.0,0,898,20.0,34.59003035008521
66900.0,0,897,20.0,32.2044749117323
66900.0,143,16,20.0,21.806338070697812
66900.0,138,987,20.0,26.109524528529466
66900.0,164,1123,20.0,22.784037798753268
66900.0,174,152,20.0,23.31957876334636
66900.0,236,1168,20.0,22.900612743039964
66900.0,201,1829,20.0,21.579761599240552
66900.0,292,107,20.0,20.831075190913456
66900.0,273,1032,20.0,23.481432246612197
66900.0,368,1213,20.0,22.807170452172713
67200.0,42,149,20.0,31.393269697909002
67200.0,42,1121,20.0,28.429137314028356
67200.0,42,1122,20.0,32.15213868273831
67200.0,49,194,20.0,34.21821695148712
67200.0,49,1167,20.0,30.79816957096121
67200.0,34,1076,20.0,30.456465181104125
67200.0,34,103,20.0,31.82769336493668
67200.0,7,940,20.0,35.54143141982757
67200.0,7,1826,20.0,27.260756227107805
67200.0,15,13,20.0,26.85954768170989
67200.0,15,986,20.0,36.16941208492637
67200.0,18,58,20.0,28.89581219654167
67200.0,21,1031,20.0,33.24937880506741
67200.0,38,148,20.0,34.577112028329346
67200.0,8,12,20.0,30.993574348248885
67200.0,8,941,20.0,39.57691349154207
